accuracy,split_method,layer,seed
1.0,spatial,layer1,1
0.9866507911066332,spatial,layer2,1
0.9998806260311992,spatial,layer3,1
1.0,spatial,layer4,1
1.0,spatial,layer5,1
1.0,spatial,layer1,2
1.0,spatial,layer2,2
1.0,spatial,layer3,2
1.0,spatial,layer4,2
0.9998354301798352,spatial,layer5,2
1.0,spatial,layer1,3
1.0,spatial,layer2,3
1.0,spatial,layer3,3
1.0,spatial,layer4,3
0.99987515392953,spatial,layer5,3
1.0,spatial,layer1,4
0.9998397179035102,spatial,layer2,4
0.9998763626751708,spatial,layer3,4
1.0,spatial,layer4,4
1.0,spatial,layer5,4
1.0,spatial,layer1,5
1.0,spatial,layer2,5
1.0,spatial,layer3,5
1.0,spatial,layer4,5
1.0,spatial,layer5,5
1.0,spatial,layer1,6
0.999851166624688,spatial,layer2,6
1.0,spatial,layer3,6
1.0,spatial,layer4,6
1.0,spatial,layer5,6
1.0,spatial,layer1,7
1.0,spatial,layer2,7
1.0,spatial,layer3,7
1.0,spatial,layer4,7
0.9985983191179058,spatial,layer5,7
1.0,spatial,layer1,8
1.0,spatial,layer2,8
0.9999062061673708,spatial,layer3,8
1.0,spatial,layer4,8
0.99984110500122,spatial,layer5,8
1.0,spatial,layer1,9
1.0,spatial,layer2,9
0.9998763626751708,spatial,layer3,9
1.0,spatial,layer4,9
1.0,spatial,layer5,9
1.0,spatial,layer1,10
0.99858417481434,spatial,layer2,10
1.0,spatial,layer3,10
1.0,spatial,layer4,10
1.0,spatial,layer5,10
1.0,spatial,layer1,11
0.9998626153458658,spatial,layer2,11
0.9943979501784216,spatial,layer3,11
1.0,spatial,layer4,11
1.0,spatial,layer5,11
1.0,spatial,layer1,12
1.0,spatial,layer2,12
1.0,spatial,layer3,12
1.0,spatial,layer4,12
1.0,spatial,layer5,12
1.0,spatial,layer1,13
1.0,spatial,layer2,13
1.0,spatial,layer3,13
1.0,spatial,layer4,13
1.0,spatial,layer5,13
1.0,spatial,layer1,14
1.0,spatial,layer2,14
1.0,spatial,layer3,14
1.0,spatial,layer4,14
1.0,spatial,layer5,14
1.0,spatial,layer1,15
1.0,spatial,layer2,15
1.0,spatial,layer3,15
1.0,spatial,layer4,15
1.0,spatial,layer5,15
1.0,spatial,layer1,16
0.999900777749792,spatial,layer2,16
0.9998337291148848,spatial,layer3,16
1.0,spatial,layer4,16
1.0,spatial,layer5,16
1.0,spatial,layer1,17
0.9998244529419396,spatial,layer2,17
1.0,spatial,layer3,17
1.0,spatial,layer4,17
1.0,spatial,layer5,17
1.0,spatial,layer1,18
1.0,spatial,layer2,18
1.0,spatial,layer3,18
1.0,spatial,layer4,18
0.9986437176889856,spatial,layer5,18
1.0,spatial,layer1,19
1.0,spatial,layer2,19
1.0,spatial,layer3,19
1.0,spatial,layer4,19
1.0,spatial,layer5,19
1.0,spatial,layer1,20
0.9999351239133256,spatial,layer2,20
1.0,spatial,layer3,20
1.0,spatial,layer4,20
1.0,spatial,layer5,20
1.0,spatial,layer1,21
1.0,spatial,layer2,21
1.0,spatial,layer3,21
1.0,spatial,layer4,21
1.0,spatial,layer5,21
1.0,spatial,layer1,22
1.0,spatial,layer2,22
0.999884889387228,spatial,layer3,22
1.0,spatial,layer4,22
1.0,spatial,layer5,22
1.0,spatial,layer1,23
0.9998664315862584,spatial,layer2,23
1.0,spatial,layer3,23
1.0,spatial,layer4,23
1.0,spatial,layer5,23
1.0,spatial,layer1,24
0.9999084102305772,spatial,layer2,24
1.0,spatial,layer3,24
1.0,spatial,layer4,24
1.0,spatial,layer5,24
1.0,spatial,layer1,25
0.999832085422725,spatial,layer2,25
1.0,spatial,layer3,25
1.0,spatial,layer4,25
1.0,spatial,layer5,25
1.0,spatial,layer1,26
1.0,spatial,layer2,26
1.0,spatial,layer3,26
1.0,spatial,layer4,26
1.0,spatial,layer5,26
1.0,spatial,layer1,27
0.999851166624688,spatial,layer2,27
1.0,spatial,layer3,27
1.0,spatial,layer4,27
1.0,spatial,layer5,27
1.0,spatial,layer1,28
0.999813004220762,spatial,layer2,28
1.0,spatial,layer3,28
1.0,spatial,layer4,28
0.9997786819659852,spatial,layer5,28
1.0,spatial,layer1,29
1.0,spatial,layer2,29
1.0,spatial,layer3,29
1.0,spatial,layer4,29
1.0,spatial,layer5,29
1.0,spatial,layer1,30
1.0,spatial,layer2,30
1.0,spatial,layer3,30
1.0,spatial,layer4,30
1.0,spatial,layer5,30
1.0,spatial,layer1,31
1.0,spatial,layer2,31
1.0,spatial,layer3,31
1.0,spatial,layer4,31
1.0,spatial,layer5,31
1.0,spatial,layer1,32
1.0,spatial,layer2,32
1.0,spatial,layer3,32
1.0,spatial,layer4,32
0.99986380428676,spatial,layer5,32
1.0,spatial,layer1,33
0.9978934353032768,spatial,layer2,33
1.0,spatial,layer3,33
1.0,spatial,layer4,33
0.99984110500122,spatial,layer5,33
1.0,spatial,layer1,34
0.9998931452690067,spatial,layer2,34
0.923963045229944,spatial,layer3,34
1.0,spatial,layer4,34
1.0,spatial,layer5,34
1.0,spatial,layer1,35
1.0,spatial,layer2,35
0.9998635726070848,spatial,layer3,35
1.0,spatial,layer4,35
1.0,spatial,layer5,35
1.0,spatial,layer1,36
1.0,spatial,layer2,36
1.0,spatial,layer3,36
1.0,spatial,layer4,36
0.9998865035723,spatial,layer5,36
1.0,spatial,layer1,37
1.0,spatial,layer2,37
1.0,spatial,layer3,37
1.0,spatial,layer4,37
1.0,spatial,layer5,37
1.0,spatial,layer1,38
0.9916538822613514,spatial,layer2,38
1.0,spatial,layer3,38
1.0,spatial,layer4,38
1.0,spatial,layer5,38
1.0,spatial,layer1,39
0.999851166624688,spatial,layer2,39
1.0,spatial,layer3,39
1.0,spatial,layer4,39
1.0,spatial,layer5,39
1.0,spatial,layer1,40
0.994432105267175,spatial,layer2,40
0.9999019428113424,spatial,layer3,40
1.0,spatial,layer4,40
0.999994325178615,spatial,layer5,40
1.0,spatial,layer1,41
1.0,spatial,layer2,41
1.0,spatial,layer3,41
1.0,spatial,layer4,41
1.0,spatial,layer5,41
1.0,spatial,layer1,42
1.0,spatial,layer2,42
0.9984651918297044,spatial,layer3,42
1.0,spatial,layer4,42
1.0,spatial,layer5,42
0.999977213690015,spatial,layer1,43
0.8799677909310863,spatial,layer2,43
1.0,spatial,layer3,43
1.0,spatial,layer4,43
0.9998354301798352,spatial,layer5,43
1.0,spatial,layer1,44
1.0,spatial,layer2,44
0.999829465758856,spatial,layer3,44
1.0,spatial,layer4,44
0.9998240805370652,spatial,layer5,44
1.0,spatial,layer1,45
1.0,spatial,layer2,45
1.0,spatial,layer3,45
1.0,spatial,layer4,45
0.999994325178615,spatial,layer5,45
1.0,spatial,layer1,46
1.0,spatial,layer2,46
1.0,spatial,layer3,46
1.0,spatial,layer4,46
1.0,spatial,layer5,46
1.0,spatial,layer1,47
1.0,spatial,layer2,47
1.0,spatial,layer3,47
1.0,spatial,layer4,47
0.99989785321507,spatial,layer5,47
1.0,spatial,layer1,48
1.0,spatial,layer2,48
1.0,spatial,layer3,48
1.0,spatial,layer4,48
0.99982975535845,spatial,layer5,48
1.0,spatial,layer1,49
0.9998664315862584,spatial,layer2,49
1.0,spatial,layer3,49
1.0,spatial,layer4,49
1.0,spatial,layer5,49
1.0,spatial,layer1,50
0.9975308924659784,spatial,layer2,50
0.9999317863035424,spatial,layer3,50
1.0,spatial,layer4,50
0.999994325178615,spatial,layer5,50
1.0,spatial,layer1,51
0.9998893290286142,spatial,layer2,51
0.9998465191829704,spatial,layer3,51
1.0,spatial,layer4,51
1.0,spatial,layer5,51
1.0,spatial,layer1,52
1.0,spatial,layer2,52
1.0,spatial,layer3,52
1.0,spatial,layer4,52
1.0,spatial,layer5,52
1.0,spatial,layer1,53
1.0,spatial,layer2,53
1.0,spatial,layer3,53
1.0,spatial,layer4,53
1.0,spatial,layer5,53
1.0,spatial,layer1,54
1.0,spatial,layer2,54
1.0,spatial,layer3,54
1.0,spatial,layer4,54
1.0,spatial,layer5,54
1.0,spatial,layer1,55
1.0,spatial,layer2,55
1.0,spatial,layer3,55
1.0,spatial,layer4,55
0.9983543017983508,spatial,layer5,55
1.0,spatial,layer1,56
0.9999389401537182,spatial,layer2,56
1.0,spatial,layer3,56
1.0,spatial,layer4,56
1.0,spatial,layer5,56
1.0,spatial,layer1,57
1.0,spatial,layer2,57
0.9998934160992852,spatial,layer3,57
1.0,spatial,layer4,57
1.0,spatial,layer5,57
1.0,spatial,layer1,58
0.9995191537105306,spatial,layer2,58
1.0,spatial,layer3,58
1.0,spatial,layer4,58
1.0,spatial,layer5,58
1.0,spatial,layer1,59
0.9846014700157992,spatial,layer2,59
1.0,spatial,layer3,59
1.0,spatial,layer4,59
1.0,spatial,layer5,59
1.0,spatial,layer1,60
1.0,spatial,layer2,60
1.0,spatial,layer3,60
1.0,spatial,layer4,60
1.0,spatial,layer5,60
1.0,spatial,layer1,61
1.0,spatial,layer2,61
1.0,spatial,layer3,61
0.9980333969240914,spatial,layer4,61
0.999892178393685,spatial,layer5,61
1.0,spatial,layer1,62
0.9998282691823324,spatial,layer2,62
1.0,spatial,layer3,62
1.0,spatial,layer4,62
1.0,spatial,layer5,62
1.0,spatial,layer1,63
0.999881696547829,spatial,layer2,63
1.0,spatial,layer3,63
1.0,spatial,layer4,63
0.999994325178615,spatial,layer5,63
1.0,spatial,layer1,64
1.0,spatial,layer2,64
0.999884889387228,spatial,layer3,64
1.0,spatial,layer4,64
0.99986380428676,spatial,layer5,64
1.0,spatial,layer1,65
0.9998855127882216,spatial,layer2,65
1.0,spatial,layer3,65
1.0,spatial,layer4,65
1.0,spatial,layer5,65
1.0,spatial,layer1,66
0.9944588189499232,spatial,layer2,66
1.0,spatial,layer3,66
1.0,spatial,layer4,66
0.99980705607291,spatial,layer5,66
1.0,spatial,layer1,67
1.0,spatial,layer2,67
1.0,spatial,layer3,67
1.0,spatial,layer4,67
0.999892178393685,spatial,layer5,67
1.0,spatial,layer1,68
1.0,spatial,layer2,68
1.0,spatial,layer3,68
1.0,spatial,layer4,68
1.0,spatial,layer5,68
1.0,spatial,layer1,69
0.9997939230187988,spatial,layer2,69
1.0,spatial,layer3,69
1.0,spatial,layer4,69
0.9986210184034456,spatial,layer5,69
1.0,spatial,layer1,70
0.9998855127882216,spatial,layer2,70
0.9998976794553136,spatial,layer3,70
1.0,spatial,layer4,70
1.0,spatial,layer5,70
1.0,spatial,layer1,71
0.9997862905380136,spatial,layer2,71
1.0,spatial,layer3,71
1.0,spatial,layer4,71
0.9998467798226052,spatial,layer5,71
1.0,spatial,layer1,72
0.9998855127882216,spatial,layer2,72
1.0,spatial,layer3,72
1.0,spatial,layer4,72
1.0,spatial,layer5,72
1.0,spatial,layer1,73
0.999900777749792,spatial,layer2,73
1.0,spatial,layer3,73
1.0,spatial,layer4,73
1.0,spatial,layer5,73
1.0,spatial,layer1,74
1.0,spatial,layer2,74
1.0,spatial,layer3,74
0.9997055983419298,spatial,layer4,74
1.0,spatial,layer5,74
1.0,spatial,layer1,75
1.0,spatial,layer2,75
1.0,spatial,layer3,75
1.0,spatial,layer4,75
0.9998467798226052,spatial,layer5,75
1.0,spatial,layer1,76
1.0,spatial,layer2,76
1.0,spatial,layer3,76
1.0,spatial,layer4,76
1.0,spatial,layer5,76
1.0,spatial,layer1,77
0.9999274914325404,spatial,layer2,77
1.0,spatial,layer3,77
1.0,spatial,layer4,77
1.0,spatial,layer5,77
1.0,spatial,layer1,78
1.0,spatial,layer2,78
1.0,spatial,layer3,78
1.0,spatial,layer4,78
1.0,spatial,layer5,78
1.0,spatial,layer1,79
1.0,spatial,layer2,79
1.0,spatial,layer3,79
1.0,spatial,layer4,79
1.0,spatial,layer5,79
1.0,spatial,layer1,80
1.0,spatial,layer2,80
0.9999019428113424,spatial,layer3,80
1.0,spatial,layer4,80
