accuracy,split_method,layer,seed
1.0,spatial,layer1,1
0.9759958220777056,spatial,layer2,1
0.9937797479584792,spatial,layer3,1
0.9995054023022344,spatial,layer4,1
1.0,spatial,layer5,1
1.0,spatial,layer1,2
0.9898220537249204,spatial,layer2,2
0.9877556724021218,spatial,layer3,2
1.0,spatial,layer4,2
0.9971853030196276,spatial,layer5,2
1.0,spatial,layer1,3
0.9931193413055224,spatial,layer2,3
0.991592737450671,spatial,layer3,3
0.999075573350605,spatial,layer4,3
0.9971966531132476,spatial,layer5,3
1.0,spatial,layer1,4
0.9803273835944006,spatial,layer2,4
0.9964955203625988,spatial,layer3,4
0.999988224211022,spatial,layer4,4
0.9992055214635712,spatial,layer5,4
1.0,spatial,layer1,5
0.9969164751555872,spatial,layer2,5
0.9926883066038116,spatial,layer3,5
1.0,spatial,layer4,5
0.998660746435936,spatial,layer5,5
1.0,spatial,layer1,6
0.9832962517778366,spatial,layer2,6
0.997399350913778,spatial,layer3,6
1.0,spatial,layer4,6
0.997832237906799,spatial,layer5,6
1.0,spatial,layer1,7
0.9644367018763004,spatial,layer2,7
0.9971222376794432,spatial,layer3,7
0.9979745213070884,spatial,layer4,7
0.974758449993344,spatial,layer5,7
1.0,spatial,layer1,8
0.9942374719093368,spatial,layer2,8
0.9889323049920398,spatial,layer3,8
0.999935231253864,spatial,layer4,8
0.9960786935272904,spatial,layer5,8
1.0,spatial,layer1,9
0.981693464819146,spatial,layer2,9
0.9515810549630672,spatial,layer3,9
1.0,spatial,layer4,9
0.999659516352432,spatial,layer5,9
1.0,spatial,layer1,10
0.991363826232521,spatial,layer2,10
0.994218890097044,spatial,layer3,10
0.9984926681560272,spatial,layer4,10
0.9995233124917018,spatial,layer5,10
1.0,spatial,layer1,11
0.9565139823746688,spatial,layer2,11
0.9909404264200856,spatial,layer3,11
0.9818529749462714,spatial,layer4,11
0.9994609011462944,spatial,layer5,11
1.0,spatial,layer1,12
0.9938634920892074,spatial,layer2,12
0.9939971826966584,spatial,layer3,12
0.9991109022776132,spatial,layer4,12
0.999551696742708,spatial,layer5,12
1.0,spatial,layer1,13
0.9933750233824588,spatial,layer2,13
0.9954765859419784,spatial,layer3,13
0.9982277035435784,spatial,layer4,13
0.9988877362320554,spatial,layer5,13
1.0,spatial,layer1,14
0.9894480653849994,spatial,layer2,14
0.9969858069421058,spatial,layer3,14
0.9996702682014896,spatial,layer4,14
0.9994155033480876,spatial,layer5,14
1.0,spatial,layer1,15
0.944210296104352,spatial,layer2,15
0.9949692353416733,spatial,layer3,15
